curso,date,field,plataforma,id,link
Introduction to Bash Scripting,2022-02-22,DATA ENGINEERING,DataCamp,"#23,119,199",https://www.datacamp.com/statement-of-accomplishment/course/03bec7f3dd48ab861f17f6e2862e594568f309be
Data Processing in Shell,2022-02-20,DATA ENGINEERING,DataCamp,"#23,107,761",https://www.datacamp.com/statement-of-accomplishment/course/b940731355ef858d9b2d990aee2d0e0348288351
Introduction to  Shell,2022-02-19,DATA ENGINEERING,DataCamp,"#22,685,188",https://www.datacamp.com/statement-of-accomplishment/course/8bb18f7a9b4f8e91cf3a0e80771d23bcef7b7cbe
Regular Expressions in Python,2022-02-15,DATA ENGINEERING,DataCamp,"#22,864,276",https://www.datacamp.com/statement-of-accomplishment/course/a8d1acb463db98dc4605613d95d4826eb0e317b7
Writing Efficient Python Code,2022-02-11,ETL,DataCamp,"#22,577,755",https://www.datacamp.com/statement-of-accomplishment/course/fc64a4364f76a49340a0bcc2ef29ed5e01bf6d96
Introduction to Power BI,2022-01-23,DATA SCIENCE,DataCamp,"#22,549,749",https://www.datacamp.com/statement-of-accomplishment/course/b1edc8dcaa0e648d8d43fec7d968882cf84ae874
Python Data Science Toolbox (Part 2),2022-01-23,DATA SCIENCE,DataCamp,"#22,700,284",https://app.datacamp.com/learn/courses/python-data-science-toolbox-part-2
Streamlined Data Ingestion with Pandas,2022-01-22,DATA SCIENCE,DataCamp,"#22,671,802",https://www.datacamp.com/statement-of-accomplishment/course/2b8113ee484f7a2ad8d84e7e32ccd861c996569a?raw=1
Exploratory Data Analysis in Python,2021-12-31,DATA SCIENCE,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/33af3a7ba2bd8a4291d5188f2d436696
Learn the Basics of Regular Expressions,2021-10-10,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/9da8e26980d5139405439ee7578b8b69
How to Clean Data with Python,2021-09-06,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/e773a003314c1be60da8388a90a77e78
Learn Bash Scripting,2021-08-27,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/37c55263a9f1b1f7603f7551c293ecbd
Learn Statistics with NumPy,2021-08-22,DATA SCIENCE,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/43135f7494712f4c3b1ced1a55be7be1
Learn the Command Line,2021-08-17,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/c87ba0541f8be78bc2f4ba1128233f6f
Learn SQL Course,2021-07-16,DBA,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/042a4e5884e3eb6ea1f2a12be6abb851
Learn Python 3,2021-04-14,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/6c152bd262967f8c941c9707ed636bda
Learn Data Analysis with Pandas,2021-02-10,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/95dd3ed417d7d6c449afffc6401b310a
English,2020-10-31,ENGLISH,TOEFL,,https://github.com/s33ding/myCertificates/blob/main/english_TOEFL_my_score.pdf
English,2017-07-01,ENGLISH,Casa Thomas Jefferson,,https://github.com/s33ding/myCertificates/blob/main/english_Casa%20Thomas%20Jefferson.pdf
